A,B,C,D,E,F,G,H,I,J,target
6,0,0,44,15,0,0,1,0,0,1
3,0,0,13,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
18,1,0,5,0,0,0,2,0,0,1
2,0,0,28,1,1,0,0,0,0,1
1,0,0,37,0,1,0,0,0,0,0
7,0,0,14,0,0,0,0,0,0,0
2,0,0,13,2,0,0,0,0,0,0
0,0,0,22,0,0,0,0,0,0,0
2,0,0,298,15,15,0,4,7,0,1
26,2,0,13,0,0,0,1,0,0,0
1,0,0,45,1,0,0,0,0,0,1
0,0,0,108,1,0,0,0,0,0,0
11,1,0,11,0,0,0,0,0,0,1
10,0,0,22,6,1,0,2,0,0,1
7,0,0,31,2,0,0,0,0,0,0
7,0,0,33,1,0,0,1,0,0,1
1,0,0,5,1,0,0,1,0,0,1
27,0,0,35,1,0,0,2,0,0,0
0,0,0,45,2,0,0,0,0,0,1
5,0,0,55,10,0,0,0,0,0,0
1,0,0,8,3,0,0,1,0,0,0
0,0,0,20,0,0,0,0,0,0,0
13,0,0,123,11,0,1,7,0,0,1
11,0,0,14,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,0
7,0,0,11,0,0,0,0,0,0,1
19,0,0,227,16,6,0,1,0,0,1
21,0,0,57,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1
3,0,0,11,0,1,0,0,0,0,0
194,1,0,5,1,2,0,0,0,0,1
11,0,0,11,0,0,0,0,0,0,0
0,0,0,29,0,0,0,0,0,0,0
24,1,0,10,0,0,0,0,0,0,0
5,0,0,48,0,0,0,1,0,0,1
1,0,0,39,1,0,0,0,0,0,0
1,0,0,7,1,0,0,0,0,0,1
0,0,0,7,0,1,0,0,0,0,0
9,0,0,6,3,0,0,0,0,0,0
438,0,0,9,1,0,0,4,0,0,1
1,0,0,9,1,2,0,1,0,0,1
4,0,0,8,0,0,0,1,0,0,0
7,0,0,9,2,1,0,0,0,0,0
0,0,0,61,2,0,0,0,0,0,0
27,0,0,6,1,0,1,1,0,0,0
106,0,0,19,1,0,0,0,0,0,0
4,0,0,5,0,0,0,0,0,0,1
0,0,0,15,0,0,0,0,0,0,0
1,0,0,26,2,1,0,0,0,0,0
104,1,0,4,4,2,0,1,0,0,1
0,0,0,27,2,1,0,0,0,0,1
0,0,0,10,0,1,0,0,1,0,0
3,0,0,11,0,2,0,0,0,0,0
16,0,0,9,2,0,1,0,1,0,1
3,0,0,9,0,0,0,0,0,0,0
6,0,0,10,0,0,0,2,0,0,0
4,0,0,11,2,0,0,0,0,0,0
69,2,0,31,0,0,0,0,0,0,1
100,2,0,57,0,2,0,1,0,0,1
4,0,0,11,1,0,0,0,0,0,1
1,0,0,11,1,0,0,0,0,0,0
0,0,0,56,2,0,0,0,0,0,0
0,0,0,27,0,0,0,0,0,0,0
19,1,0,43,5,1,0,0,0,0,0
4,0,0,14,0,0,0,0,0,0,0
2,0,0,9,0,0,0,1,0,0,1
0,0,0,33,3,0,0,0,0,0,0
0,0,0,15,1,0,0,0,0,0,0
4,0,0,53,1,0,0,0,0,0,1
4,0,0,12,0,0,0,0,0,0,0
0,0,0,36,1,1,0,0,0,0,0
1,0,0,3,0,0,0,1,0,0,1
2,0,0,16,5,1,0,0,0,0,0
2,0,0,34,1,1,0,0,0,0,0
216,0,0,2,46,0,2,0,0,0,0
3,0,0,20,1,0,0,1,0,0,0
0,0,0,6,2,0,0,0,0,0,0
7,0,0,50,2,2,0,1,1,0,0
6,0,0,12,0,0,0,0,0,0,0
3,0,0,50,0,0,0,0,0,0,0
8,0,0,36,1,0,0,0,0,0,0
2,0,0,9,0,0,0,0,7,0,0
4,0,0,47,0,0,0,0,0,0,0
1,0,0,7,0,0,0,1,0,0,0
3,0,0,60,2,0,0,0,1,0,0
0,0,0,31,1,0,0,0,0,0,0
3,0,0,39,2,0,0,1,0,0,1
33,0,0,146,8,2,0,11,1,0,1
3,0,0,26,1,0,0,0,0,0,0
0,0,0,713,17,4,0,0,2,0,0
2,0,0,40,4,0,0,1,0,0,1
4,0,0,17,0,0,0,1,0,0,1
11,0,0,18,0,0,0,0,0,0,0
9,0,0,15,0,0,0,2,2,0,1
3,0,0,14,0,0,0,2,0,0,1
3,1,0,271,9,9,0,5,4,0,0
23,0,0,29,1,0,0,0,0,0,0
0,0,0,94,5,1,0,1,0,0,0
8,1,0,11,0,2,0,0,0,0,0
0,0,0,20,0,0,0,0,0,0,0
30,3,0,8,0,0,0,0,0,0,1
35,1,0,19,0,1,0,0,0,0,0
4,3,0,8,0,0,0,0,0,0,0
0,0,0,14,5,0,0,0,0,0,1
126,1,0,25,0,0,0,3,0,0,1
9,0,0,7,2,0,0,0,0,0,0
29,0,0,8,2,1,0,0,0,0,0
0,0,0,23,0,0,0,0,0,0,0
0,0,0,48,3,1,0,2,0,0,1
11,0,0,23,1,1,0,0,0,0,0
10,0,0,154,14,4,0,5,3,0,1
5,0,0,20,0,0,0,0,0,0,0
1,0,0,7,0,0,0,0,0,0,0
1,0,0,9,2,0,0,0,0,0,0
1,0,0,18,0,0,0,0,0,0,0
32,0,0,11,0,0,0,0,0,0,0
2,1,0,9,2,0,0,0,0,0,0
2,0,0,10,0,0,0,0,0,0,0
0,0,0,13,0,0,0,1,0,0,0
4,0,0,9,0,0,0,0,0,0,0
2,0,0,5,0,0,0,0,0,0,1
5,0,0,18,0,0,0,0,0,0,0
4,0,0,10,0,0,0,0,0,0,0
3,0,0,12,1,0,0,1,0,0,1
0,0,0,42,2,0,0,0,0,0,0
0,0,0,25,0,0,0,0,0,0,0
9,0,0,10,0,0,0,0,0,0,0
5,0,0,21,2,2,0,0,0,0,0
2,0,0,9,0,0,0,0,0,0,0
4,0,0,8,0,0,0,0,0,0,0
1,0,0,12,0,0,0,1,0,0,0
0,0,0,83,4,0,0,0,0,0,1
0,0,0,114,2,0,0,0,0,0,0
47,1,0,96,4,1,0,1,0,0,1
0,0,0,56,8,2,0,1,1,0,1
1,0,0,12,0,0,0,0,0,0,0
1,0,0,14,2,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0,0
3,0,0,15,0,0,0,1,0,0,0
0,0,0,36,1,0,0,0,0,0,0
3,0,0,3,0,0,0,1,0,0,1
11,0,0,10,0,0,0,0,0,0,0
14,0,0,17,2,0,0,0,0,0,0
9,0,0,151,4,2,0,0,0,0,0
11,0,0,58,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1
1,0,0,7,0,1,0,0,0,0,0
1,0,0,17,0,0,0,0,0,0,0
3,0,0,9,1,0,0,0,0,0,0
12,0,0,12,0,0,0,1,0,0,0
0,0,0,32,0,0,0,0,0,0,0
0,0,0,15,1,0,0,0,0,0,0
4,0,0,6,1,1,0,0,0,0,1
2,0,0,7,0,0,0,0,0,0,0
15,0,0,243,14,2,0,7,1,0,1
1,0,0,26,0,0,0,0,0,0,0
3,0,0,23,1,0,0,0,0,0,0
7,0,0,123,11,2,0,1,0,0,1
4,0,0,12,0,0,0,0,0,0,0
1,0,0,50,1,0,0,0,0,0,0
3,0,0,8,1,0,0,0,0,0,0
0,0,0,35,0,0,0,0,1,0,0
27,0,0,35,0,0,0,1,0,0,1
35,1,0,8,0,0,0,0,0,0,0
2,0,0,13,0,0,0,0,0,0,0
0,0,0,92,2,2,0,0,0,0,1
4,0,0,19,0,0,0,1,0,0,1
1,0,0,25,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,0
115,0,0,25,7,0,1,0,0,0,1
1,0,0,9,0,0,0,0,0,0,0
5,0,0,13,0,0,0,0,0,0,0
1,0,0,11,0,0,0,0,0,0,0
0,0,0,18,1,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0
0,0,0,49,3,1,0,0,0,0,1
0,0,0,24,1,1,0,0,0,0,0
7,0,0,15,0,0,0,0,0,0,0
0,0,0,28,0,0,0,0,0,0,0
2,0,0,40,0,0,0,1,0,0,1
0,0,0,41,4,0,0,0,0,0,1
1,0,0,7,0,0,0,1,0,0,0
0,0,0,8,0,0,0,0,0,0,0
3,0,0,13,1,0,0,0,0,0,1
3,0,0,33,0,0,0,0,0,0,0
2,0,0,18,0,0,0,0,0,0,0
0,0,0,13,0,0,0,1,0,0,0
0,0,0,11,1,5,0,0,0,0,0
0,0,0,15,0,1,0,0,0,0,1
0,0,0,50,0,0,0,0,0,0,0
0,0,0,46,1,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0,0
16,0,0,20,3,0,0,0,0,0,1
1,0,0,14,1,1,0,0,0,0,1
0,0,0,33,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0,1
0,0,0,18,0,0,0,0,0,0,0
1,0,0,42,1,0,0,0,0,0,0
0,0,0,20,0,0,0,0,0,0,0
0,0,0,29,1,0,0,0,0,0,0
1,0,0,36,0,0,0,2,0,0,1
3,0,0,9,0,2,0,1,0,0,0
0,0,0,26,1,2,0,3,1,0,1
0,0,0,29,0,0,0,0,0,0,0
1,0,0,24,0,0,0,0,0,0,0
1,0,0,7,1,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0
1,0,0,22,0,0,0,0,0,0,0
0,0,0,19,2,1,0,0,0,0,0
0,0,0,16,0,0,0,0,0,0,1
0,0,0,15,0,0,0,0,1,0,0
0,2,0,700,20,3,0,5,0,0,1
2,0,0,25,0,0,0,0,0,0,0
0,0,0,15,12,0,0,0,0,0,0
3,0,0,10,0,0,0,0,0,0,0
15,0,0,49,7,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,1
2,0,0,50,0,0,0,0,0,0,0
1,0,0,24,0,1,0,0,0,0,0
2,0,0,11,0,0,0,0,0,0,0
2,0,0,5,0,0,0,0,0,0,0
0,0,0,14,0,0,0,0,2,0,1
0,0,0,23,0,0,0,1,0,0,1
19,0,0,53,0,1,0,0,0,0,0
181,3,0,2,0,0,0,8,0,0,0
0,0,0,21,1,0,0,0,0,0,0
0,0,0,51,1,0,0,0,0,0,1
0,4,0,207,2,2,0,1,0,0,1
0,0,0,14,0,0,0,0,0,0,0
0,0,0,30,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0
0,0,0,12,0,0,0,0,0,0,0
0,0,0,7,1,0,0,0,0,0,1
36,0,0,10,0,0,0,0,0,0,0
1,0,0,7,3,0,0,0,0,0,0
0,0,0,8,5,0,0,0,0,0,0
0,0,0,145,7,2,0,0,0,0,0
0,0,0,5,5,0,0,0,0,0,0
211,2,0,37,6,0,0,3,0,0,0
0,0,0,7,0,0,0,0,0,0,0
1,0,0,1,0,0,0,5,0,0,1
0,0,0,54,3,0,0,4,2,0,1
4,1,0,562,8,6,0,4,0,0,1
0,0,0,59,2,1,0,0,0,0,1
98,0,0,0,0,0,0,0,0,0,1
11,0,0,6,0,0,0,2,0,0,0
0,0,0,18,2,1,0,0,0,0,1
1,0,0,148,5,8,0,0,0,0,0
1,0,0,11,0,0,0,0,0,0,1
8,0,0,110,2,1,0,0,1,0,0
0,0,0,11,2,0,0,0,0,0,0
1,0,0,9,1,0,0,0,0,0,0
7,2,0,170,1,2,0,2,0,0,0
0,0,0,215,10,7,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0
0,0,0,174,11,2,0,0,1,0,1
0,0,0,97,0,0,0,0,0,0,0
0,0,0,54,0,3,0,3,0,0,1
0,0,0,7,0,0,0,1,0,0,1
3,0,0,169,9,1,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,0
1,0,0,34,2,0,0,0,0,0,0
0,0,0,43,11,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0,0
216,1,0,34,5,0,0,1,0,0,0
1,0,0,13,0,0,0,1,0,0,0
0,0,0,15,1,0,0,0,0,0,0
0,0,0,27,1,0,0,0,0,0,0
2,0,0,9,0,1,0,0,0,0,0
0,0,0,40,2,0,0,0,1,0,0
41,1,0,20,1,0,0,1,0,0,0
10,0,0,49,0,2,0,0,0,0,0
0,0,0,19,0,0,0,0,0,0,1
1,0,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,1
0,0,0,15,1,0,0,0,0,0,0
1,0,0,9,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,1
0,2,0,9,0,0,0,0,0,0,0
0,0,0,27,0,0,0,0,0,0,0
0,0,0,9,1,0,0,0,0,0,0
0,0,0,36,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,80,1,0,0,0,0,0,0
10,0,0,5,3,0,0,0,0,0,0
0,0,0,28,0,0,0,0,0,0,1
0,0,0,14,0,0,0,1,0,0,1
0,0,0,221,4,0,0,0,0,0,0
0,0,0,30,0,0,0,0,0,0,0
0,0,0,25,0,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0,0
0,0,0,16,0,0,0,0,0,0,0
0,0,0,22,1,0,1,1,0,0,0
0,0,0,16,0,0,0,0,0,0,0
0,0,0,14,0,0,0,0,1,0,0
0,0,0,28,0,0,0,1,0,0,1
0,0,0,19,0,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0,0
68,1,0,22,16,1,0,0,0,0,0
0,0,0,33,2,0,0,0,0,0,0
0,0,0,17,0,0,0,0,0,0,0
0,0,0,51,0,1,0,0,0,0,1
0,0,0,39,0,0,0,0,0,0,1
9,0,0,15,1,0,0,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0
0,0,0,78,0,0,0,0,0,0,0
0,0,0,118,1,4,0,0,1,0,0
66,0,0,4,1,1,0,4,0,0,0
0,0,0,37,1,0,0,2,1,0,1
0,0,0,34,0,0,0,0,0,0,1
0,0,0,17,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0
0,0,0,21,0,0,0,1,0,0,0
0,0,0,26,0,0,0,1,0,0,1
0,0,0,21,1,0,0,0,1,0,0
0,0,0,7,1,0,0,0,0,0,0
0,0,0,92,4,0,0,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0,0
0,0,0,204,6,3,0,0,0,0,1
0,0,0,12,0,0,0,0,0,0,0
0,0,0,21,0,0,0,0,0,0,0
0,0,0,23,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0,0
0,0,0,15,1,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,0
0,0,0,59,2,0,0,0,0,0,0
0,0,0,26,0,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0,0
0,0,0,13,0,1,0,1,0,0,0
0,0,0,97,2,3,0,0,1,0,0
0,0,0,14,0,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0,0
0,0,0,22,1,0,0,0,0,0,0
19,0,0,79,7,0,0,0,0,0,0
486,4,0,56,4,2,2,18,0,0,1
25,0,0,1,0,0,0,0,0,1,0
8,0,0,1,0,0,0,0,0,0,0
133,0,0,21,2,0,0,1,0,0,0
0,0,0,10,1,0,0,11,0,0,0
12,0,0,9,0,0,0,0,0,0,0
17,0,0,280,16,5,2,9,1,0,1
0,0,0,5,8,0,0,0,0,0,0
0,0,0,78,11,0,0,1,0,0,0
34,0,0,112,47,1,0,2,0,0,0
5,0,0,41,0,0,0,0,0,0,0
3,0,0,23,0,0,0,0,0,0,0
74,1,0,29,1,0,0,2,0,0,1
14,0,0,9,2,0,0,0,0,0,1
4,0,0,3,2,0,0,2,0,0,1
15,1,0,9,0,0,0,0,0,0,0
15,0,0,20,1,0,0,0,0,0,0
